,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,OUT/NOT_OUT,mach_id
0,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,0,0,50.00,OUT,T20I # 1823
1,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,1,0,100.00,OUT,T20I # 1823
2,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,c â€ Mendis b Karunaratne,20,12,1,2,166.66,OUT,T20I # 1823
3,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,2,0,108.33,OUT,T20I # 1823
4,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus,c Gunathilaka b PWH de Silva,20,24,0,0,83.33,OUT,T20I # 1823
5,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,run out (Gunathilaka/â€ Mendis),44,28,4,0,157.14,OUT,T20I # 1823
6,Namibia Vs Sri Lanka,Namibia,7,David Wiese,c â€ Mendis b Theekshana,0,1,0,0,0.00,OUT,T20I # 1823
7,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,,31,16,2,2,193.75,NOT_OUT,T20I # 1823
8,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,c Smit b Shikongo,9,10,1,0,90.00,OUT,T20I # 1823
9,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis ,c â€ Green b Wiese,6,6,0,0,100.00,OUT,T20I # 1823
10,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,1,0,109.09,OUT,T20I # 1823
11,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,c â€ Green b Shikongo,0,1,0,0,0.00,OUT,T20I # 1823
12,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,2,0,95.23,OUT,T20I # 1823
13,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka,c â€ Green b Frylinck,29,23,2,1,126.08,OUT,T20I # 1823
14,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,0,0,50.00,OUT,T20I # 1823
15,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,c Baard b Smit,5,8,0,0,62.50,OUT,T20I # 1823
16,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,run out (van Lingen/â€ Green),0,0,0,0,-,OUT,T20I # 1823
17,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,0,0,53.33,OUT,T20I # 1823
18,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,,11,11,0,1,100.00,NOT_OUT,T20I # 1823
19,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,c â€ Edwards b van der Merwe,12,20,1,0,60.00,OUT,T20I # 1825
20,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,c Pringle b Klaassen,41,47,1,2,87.23,OUT,T20I # 1825
21,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud, b Pringle,15,14,0,1,107.14,OUT,T20I # 1825
22,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravind ,c Klaassen b de Leede,18,21,0,0,85.71,OUT,T20I # 1825
23,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,run out (Ackermann/â€ Edwards),2,4,0,0,50.00,OUT,T20I # 1825
24,U.A.E. Vs Netherlands,U.A.E.,6,Basil Hameed,c van der Merwe b de Leede,4,4,1,0,100.00,OUT,T20I # 1825
25,U.A.E. Vs Netherlands,U.A.E.,7,Chundangapoyil Rizwan, b de Leede,1,2,0,0,50.00,OUT,T20I # 1825
26,U.A.E. Vs Netherlands,U.A.E.,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,0,0,71.42,OUT,T20I # 1825
27,U.A.E. Vs Netherlands,U.A.E.,9,Karthik Meiyappan,,0,0,0,0,-,NOT_OUT,T20I # 1825
28,U.A.E. Vs Netherlands,U.A.E.,10,Junaid Siddique,,0,1,0,0,0.00,NOT_OUT,T20I # 1825
29,U.A.E. Vs Netherlands,Netherlands,1,Vikramjit Singh, b Basil Hameed,10,7,2,0,142.85,OUT,T20I # 1825
30,U.A.E. Vs Netherlands,Netherlands,2,Max O'Dowd, b Junaid Siddique,23,18,3,1,127.77,OUT,T20I # 1825
31,U.A.E. Vs Netherlands,Netherlands,3,Bas de Leede,c Rizwan b Meiyappan,14,18,1,0,77.77,OUT,T20I # 1825
32,U.A.E. Vs Netherlands,Netherlands,4,Colin Ackermann,c Junaid Siddique b Aayan Afzal Khan,17,19,1,0,89.47,OUT,T20I # 1825
33,U.A.E. Vs Netherlands,Netherlands,5,Tom Cooper,lbw b Junaid Siddique,8,16,0,0,50.00,OUT,T20I # 1825
34,U.A.E. Vs Netherlands,Netherlands,6,Scott Edwards ,,16,19,0,0,84.21,NOT_OUT,T20I # 1825
35,U.A.E. Vs Netherlands,Netherlands,7,Roelof van der Merwe, b Junaid Siddique,0,2,0,0,0.00,OUT,T20I # 1825
36,U.A.E. Vs Netherlands,Netherlands,8,Tim Pringle, b Zahoor Khan,15,16,0,0,93.75,OUT,T20I # 1825
37,U.A.E. Vs Netherlands,Netherlands,9,Logan van Beek,,4,4,0,0,100.00,NOT_OUT,T20I # 1825
38,Scotland Vs West Indies,Scotland,1,George Munsey,,66,53,9,0,124.52,NOT_OUT,T20I # 1826
39,Scotland Vs West Indies,Scotland,2,Michael Jones, b Holder,20,17,3,0,117.64,OUT,T20I # 1826
40,Scotland Vs West Indies,Scotland,3,Matthew Cross ,c Brooks b Holder,3,5,0,0,60.00,OUT,T20I # 1826
41,Scotland Vs West Indies,Scotland,4,Richie Berrington,c Mayers b Joseph,16,14,0,1,114.28,OUT,T20I # 1826
42,Scotland Vs West Indies,Scotland,5,Calum MacLeod,c King b Smith,23,14,4,0,164.28,OUT,T20I # 1826
43,Scotland Vs West Indies,Scotland,6,Michael Leask, b Joseph,4,6,0,0,66.66,OUT,T20I # 1826
44,Scotland Vs West Indies,Scotland,7,Chris Greaves,,16,11,2,0,145.45,NOT_OUT,T20I # 1826
45,Scotland Vs West Indies,West Indies,1,Kyle Mayers,c Munsey b Davey,20,13,3,1,153.84,OUT,T20I # 1826
46,Scotland Vs West Indies,West Indies,2,Evin Lewis,c Jones b Wheal,14,13,1,1,107.69,OUT,T20I # 1826
47,Scotland Vs West Indies,West Indies,3,Brandon King, b Watt,17,15,3,0,113.33,OUT,T20I # 1826
48,Scotland Vs West Indies,West Indies,4,Nicholas Pooran , b Leask,5,9,0,0,55.55,OUT,T20I # 1826
49,Scotland Vs West Indies,West Indies,5,Shamarh Brooks,c Leask b Wheal,4,9,0,0,44.44,OUT,T20I # 1826
50,Scotland Vs West Indies,West Indies,6,Rovman Powell,c MacLeod b Leask,5,6,0,0,83.33,OUT,T20I # 1826
51,Scotland Vs West Indies,West Indies,7,Jason Holder,c Greaves b Sharif,38,33,4,1,115.15,OUT,T20I # 1826
52,Scotland Vs West Indies,West Indies,8,Akeal Hosein,run out (â€ Cross/Leask),1,1,0,0,100.00,OUT,T20I # 1826
53,Scotland Vs West Indies,West Indies,9,Alzarri Joseph,c â€ Cross b Watt,0,1,0,0,0.00,OUT,T20I # 1826
54,Scotland Vs West Indies,West Indies,10,Odean Smith,c Greaves b Watt,5,8,0,0,62.50,OUT,T20I # 1826
55,Scotland Vs West Indies,West Indies,11,Obed McCoy,,2,3,0,0,66.66,NOT_OUT,T20I # 1826
56,Zimbabwe Vs Ireland,Zimbabwe,1,Regis Chakabva ,c â€ Tucker b Little,0,2,0,0,0.00,OUT,T20I # 1828
